Sno,Organisation,Location,Date,Time,Detail,Status Rocket,Price,Status Mission
0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Fri Aug 07, 2020 05:12 UTC,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50,Success
1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Thu Aug 06, 2020 04:01 UTC,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success
2,SpaceX,"Pad A, Boca Chica, Texas, USA",Tue Aug 04, 2020 23:57 UTC,Starship Prototype | 150 Meter Hop,StatusActive,0,Success
3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Thu Jul 30, 2020 21:25 UTC,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65,Success
4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Thu Jul 30, 2020 11:50 UTC,Atlas V 541 | Perseverance,StatusActive,145,Success
5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Sat Jul 25, 2020 03:13 UTC,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success
6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Thu Jul 23, 2020 14:26 UTC,Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success
7,CASC,"LC-101, Wenchang Satellite Launch Center, China",Thu Jul 23, 2020 04:41 UTC,Long March 5 | Tianwen-1,StatusActive,0,Success
8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Mon Jul 20, 2020 21:30 UTC,Falcon 9 Block 5 | ANASIS-II,StatusActive,50,Success
9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",Sun Jul 19, 2020 21:58 UTC,H-IIA 202 | Hope Mars Mission,StatusActive,90,Success
10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",Wed Jul 15, 2020 13:46 UTC,Minotaur IV | NROL-129,StatusActive,46,Success
11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Fri Jul 10, 2020 04:17 UTC,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure
12,CASC,"LC-3, Xichang Satellite Launch Center, China",Thu Jul 09, 2020 12:11 UTC,Long March 3B/E | Apstar-6D,StatusActive,29.15,Success
13,IAI,"Pad 1, Palmachim Airbase, Israel",Mon Jul 06, 2020 01:00 UTC,Shavit-2 | Ofek-16,StatusActive,0,Success
14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Sat Jul 04, 2020 23:44 UTC,Long March 2D | Shiyan-6 02,StatusActive,29.75,Success
15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Sat Jul 04, 2020 21:19 UTC,Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5,Failure
16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Fri Jul 03, 2020 03:10 UTC,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68,Success
17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Tue Jun 30, 2020 20:10 UTC,Falcon 9 Block 5 | GPS III SV03,StatusActive,50,Success
18,CASC,"LC-2, Xichang Satellite Launch Center, China",Tue Jun 23, 2020 01:43 UTC,Long March 3B/E | Beidou-3 G3,StatusActive,29.15,Success
19,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Wed Jun 17, 2020 07:19 UTC,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75,Success
20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Sat Jun 13, 2020 09:21 UTC,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,StatusActive,50,Success
21,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Sat Jun 13, 2020 05:12 UTC,Electron/Curie | Don't stop me now!,StatusActive,7.5,Success
22,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Wed Jun 10, 2020 18:31 UTC,Long March 2C | Haiyang-1D,StatusActive,30.8,Success
23,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Thu Jun 04, 2020 01:25 UTC,Falcon 9 Block 5 | Starlink V1 L7,StatusActive,50,Success
24,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Sun May 31, 2020 08:53 UTC,Long March 2D | Gaofen-9-02 & HEAD-4,StatusActive,29.75,Success
25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Sat May 30, 2020 19:22 UTC,Falcon 9 Block 5 | SpaceX Demo-2,StatusActive,50,Success
26,CASC,"Xichang Satellite Launch Center, China",Fri May 29, 2020 20:13 UTC,Long March 11 | XJS-G and XJS-H,StatusActive,5.3,Success
27,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",Mon May 25, 2020 19:50 UTC,LauncherOne | Demo Flight,StatusActive,12,Failure
28,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Fri May 22, 2020 07:31 UTC,Soyuz 2.1b/Fregat-M | Cosmos 2546,StatusActive,0,Success
29,MHI,"LA-Y2, Tanegashima Space Center, Japan",Wed May 20, 2020 17:31 UTC,H-IIB | HTV-9,StatusRetired,112.5,Success
